year,degree,work,age,job_satisfied,happy,sex,age_range
1972,bachelor's,NA,26,very satisfied,pretty happy,male,age 20-39
1972,high school,yes,39,NA,pretty happy,female,age 20-39
1972,less than high school,NA,19,very dissatisfied,not too happy,male,age 1-19
1972,bachelor's,NA,26,moderately satisfied,very happy,female,age 20-39
1972,high school,yes,21,NA,pretty happy,female,age 20-39
1972,less than high school,NA,45,moderately satisfied,very happy,female,age 40-59
1972,high school,yes,27,NA,pretty happy,female,age 20-39
1972,less than high school,yes,76,NA,very happy,male,age 60-79
1972,less than high school,yes,63,NA,pretty happy,female,age 60-79
1972,less than high school,NA,52,very satisfied,pretty happy,male,age 40-59
1972,less than high school,yes,65,NA,pretty happy,male,age 60-79
1972,less than high school,NA,59,moderately satisfied,not too happy,male,age 40-59
1972,high school,NA,26,moderately satisfied,pretty happy,male,age 20-39
1972,bachelor's,NA,41,very satisfied,very happy,female,age 40-59
1972,graduate,NA,56,very satisfied,pretty happy,male,age 40-59
1972,high school,NA,62,moderately satisfied,not too happy,male,age 60-79
1972,graduate,NA,29,very satisfied,very happy,male,age 20-39
1972,bachelor's,NA,25,very satisfied,very happy,female,age 20-39
1972,high school,NA,41,very satisfied,very happy,female,age 40-59
1972,less than high school,no,21,NA,pretty happy,female,age 20-39
1972,high school,NA,49,very satisfied,pretty happy,female,age 40-59
1972,less than high school,NA,38,very satisfied,very happy,male,age 20-39
1972,high school,NA,50,moderately satisfied,very happy,male,age 40-59
1972,high school,NA,43,moderately satisfied,pretty happy,male,age 40-59
1972,high school,NA,32,moderately satisfied,pretty happy,male,age 20-39
1972,high school,NA,55,very satisfied,pretty happy,female,age 40-59
1972,associate/junior college,NA,27,very satisfied,very happy,female,age 20-39
1972,high school,NA,56,moderately satisfied,pretty happy,male,age 40-59
1972,less than high school,yes,48,NA,very happy,female,age 40-59
1972,less than high school,NA,56,very satisfied,pretty happy,male,age 40-59
1972,less than high school,yes,44,NA,very happy,female,age 40-59
1972,less than high school,no,25,NA,pretty happy,female,age 20-39
1972,less than high school,NA,32,moderately satisfied,pretty happy,male,age 20-39
1972,high school,yes,33,NA,very happy,female,age 20-39
1972,less than high school,NA,48,very satisfied,very happy,male,age 40-59
1972,high school,NA,45,moderately satisfied,pretty happy,male,age 40-59
1972,less than high school,yes,45,NA,not too happy,female,age 40-59
1972,less than high school,yes,72,NA,very happy,male,age 60-79
1972,less than high school,yes,45,NA,pretty happy,female,age 40-59
1972,less than high school,NA,70,NA,not too happy,female,age 60-79
1972,high school,NA,31,very satisfied,pretty happy,female,age 20-39
1972,high school,no,20,NA,pretty happy,male,age 20-39
1972,less than high school,yes,22,NA,pretty happy,female,age 20-39
1972,less than high school,yes,63,NA,pretty happy,male,age 60-79
1972,less than high school,yes,70,NA,pretty happy,male,age 60-79
1972,less than high school,yes,68,NA,very happy,male,age 60-79
1972,high school,NA,43,very satisfied,very happy,female,age 40-59
1972,graduate,NA,53,very satisfied,pretty happy,female,age 40-59
1972,high school,yes,44,a little dissatisfied,pretty happy,female,age 40-59
1972,high school,NA,37,NA,pretty happy,female,age 20-39
1972,high school,NA,55,very satisfied,pretty happy,male,age 40-59
1972,high school,NA,52,very satisfied,very happy,male,age 40-59
1972,less than high school,NA,64,very satisfied,pretty happy,male,age 60-79
1972,less than high school,yes,64,NA,pretty happy,male,age 60-79
1972,bachelor's,NA,27,a little dissatisfied,pretty happy,female,age 20-39
1972,high school,NA,28,very satisfied,very happy,male,age 20-39
1972,high school,NA,22,moderately satisfied,pretty happy,male,age 20-39
1972,high school,yes,61,NA,very happy,female,age 60-79
1972,high school,yes,82,NA,not too happy,female,age 80-100
1972,high school,NA,22,a little dissatisfied,very happy,male,age 20-39
1972,less than high school,NA,30,very satisfied,very happy,female,age 20-39
1972,high school,NA,29,moderately satisfied,very happy,female,age 20-39
1972,less than high school,NA,60,moderately satisfied,very happy,male,age 60-79
1972,less than high school,no,39,NA,very happy,female,age 20-39
1972,less than high school,yes,21,NA,pretty happy,female,age 20-39
1972,less than high school,yes,56,NA,pretty happy,male,age 40-59
1972,less than high school,yes,72,NA,pretty happy,male,age 60-79
1972,less than high school,yes,61,NA,pretty happy,male,age 60-79
1972,graduate,NA,71,very satisfied,pretty happy,male,age 60-79
1972,less than high school,NA,56,very satisfied,not too happy,female,age 40-59
1972,less than high school,yes,71,NA,very happy,female,age 60-79
1972,high school,NA,48,very satisfied,very happy,male,age 40-59
1972,high school,yes,43,NA,very happy,female,age 40-59
1972,high school,NA,61,very satisfied,very happy,female,age 60-79
1972,high school,yes,70,NA,pretty happy,male,age 60-79
1972,less than high school,NA,48,very satisfied,very happy,female,age 40-59
1972,high school,yes,34,NA,very happy,female,age 20-39
1972,high school,yes,19,NA,not too happy,male,age 1-19
1972,less than high school,NA,52,moderately satisfied,very happy,female,age 40-59
1972,high school,NA,30,moderately satisfied,not too happy,male,age 20-39
1972,high school,NA,60,moderately satisfied,pretty happy,male,age 60-79
1972,bachelor's,NA,50,very satisfied,pretty happy,male,age 40-59
1972,high school,NA,47,very satisfied,pretty happy,female,age 40-59
1972,less than high school,no,50,NA,pretty happy,female,age 40-59
1972,less than high school,no,68,NA,pretty happy,female,age 60-79
1972,high school,NA,50,very satisfied,very happy,male,age 40-59
1972,less than high school,NA,21,NA,not too happy,male,age 20-39
1972,less than high school,no,72,NA,pretty happy,female,age 60-79
1972,high school,NA,52,very dissatisfied,not too happy,male,age 40-59
1972,high school,NA,32,very satisfied,very happy,female,age 20-39
1972,high school,NA,52,very satisfied,very happy,male,age 40-59
1972,high school,yes,60,NA,very happy,female,age 60-79
1972,less than high school,NA,32,moderately satisfied,pretty happy,male,age 20-39
1972,less than high school,yes,60,NA,pretty happy,female,age 60-79
1972,less than high school,no,80,NA,pretty happy,female,age 80-100
1972,less than high school,NA,58,very satisfied,pretty happy,male,age 40-59
1972,high school,NA,36,moderately satisfied,pretty happy,female,age 20-39
1972,high school,NA,31,moderately satisfied,pretty happy,female,age 20-39
1972,bachelor's,NA,30,very satisfied,very happy,male,age 20-39
1972,high school,NA,63,very satisfied,very happy,male,age 60-79
1972,high school,NA,34,very satisfied,pretty happy,male,age 20-39
1972,high school,yes,29,NA,pretty happy,female,age 20-39
1972,less than high school,yes,36,NA,not too happy,female,age 20-39
1972,high school,no,39,NA,pretty happy,female,age 20-39
1972,less than high school,yes,73,NA,not too happy,male,age 60-79
1972,less than high school,NA,38,very satisfied,not too happy,male,age 20-39
1972,high school,NA,55,moderately satisfied,pretty happy,male,age 40-59
1972,high school,NA,30,moderately satisfied,pretty happy,male,age 20-39
1972,high school,yes,44,NA,very happy,female,age 40-59
1972,less than high school,yes,43,NA,pretty happy,female,age 40-59
1972,less than high school,NA,38,very satisfied,not too happy,male,age 20-39
1972,high school,yes,44,NA,pretty happy,female,age 40-59
1972,less than high school,yes,75,NA,pretty happy,female,age 60-79
1972,graduate,NA,43,very satisfied,very happy,male,age 40-59
1972,less than high school,NA,43,a little dissatisfied,pretty happy,female,age 40-59
1972,high school,NA,27,very satisfied,very happy,male,age 20-39
1972,less than high school,NA,58,very satisfied,very happy,male,age 40-59
1972,high school,NA,45,moderately satisfied,very happy,male,age 40-59
1972,high school,NA,31,a little dissatisfied,very happy,male,age 20-39
1972,high school,yes,23,NA,very happy,female,age 20-39
1972,less than high school,yes,69,NA,very happy,male,age 60-79
1972,less than high school,NA,35,NA,pretty happy,female,age 20-39
1972,high school,no,43,NA,pretty happy,female,age 40-59
1972,less than high school,no,56,NA,not too happy,female,age 40-59
1972,high school,no,36,NA,not too happy,female,age 20-39
1972,less than high school,NA,47,a little dissatisfied,very happy,female,age 40-59
1972,high school,NA,29,very dissatisfied,pretty happy,male,age 20-39
1972,high school,NA,60,moderately satisfied,pretty happy,male,age 60-79
1972,less than high school,NA,37,moderately satisfied,very happy,female,age 20-39
1972,high school,NA,20,very dissatisfied,very happy,male,age 20-39
1972,less than high school,no,55,NA,pretty happy,female,age 40-59
1972,less than high school,no,71,NA,pretty happy,female,age 60-79
1972,high school,NA,30,moderately satisfied,pretty happy,male,age 20-39
1972,less than high school,yes,59,NA,pretty happy,female,age 40-59
1972,high school,NA,42,very satisfied,very happy,female,age 40-59
1972,high school,yes,55,NA,very happy,female,age 40-59
1972,high school,NA,24,a little dissatisfied,not too happy,male,age 20-39
1972,less than high school,NA,30,NA,not too happy,male,age 20-39
1972,less than high school,NA,70,very satisfied,very happy,male,age 60-79
1972,less than high school,yes,43,NA,pretty happy,female,age 40-59
1972,less than high school,NA,45,moderately satisfied,not too happy,male,age 40-59
1972,bachelor's,NA,25,moderately satisfied,pretty happy,male,age 20-39
1972,less than high school,yes,37,NA,not too happy,female,age 20-39
1972,high school,NA,22,very satisfied,pretty happy,male,age 20-39
1972,less than high school,NA,27,very satisfied,not too happy,female,age 20-39
1972,graduate,NA,28,very satisfied,pretty happy,female,age 20-39
1972,high school,NA,42,moderately satisfied,very happy,male,age 40-59
1972,less than high school,no,42,NA,pretty happy,female,age 40-59
1972,high school,NA,30,very satisfied,pretty happy,male,age 20-39
1972,high school,yes,40,NA,pretty happy,female,age 40-59
1972,graduate,NA,37,very satisfied,very happy,male,age 20-39
1972,bachelor's,NA,24,moderately satisfied,pretty happy,female,age 20-39
1972,high school,NA,46,moderately satisfied,very happy,male,age 40-59
1972,high school,yes,53,NA,pretty happy,female,age 40-59
1972,high school,yes,64,NA,pretty happy,male,age 60-79
1972,high school,no,20,NA,very happy,female,age 20-39
1972,less than high school,NA,60,moderately satisfied,very happy,male,age 60-79
1972,bachelor's,NA,33,moderately satisfied,pretty happy,male,age 20-39
1972,bachelor's,yes,70,NA,pretty happy,female,age 60-79
1972,less than high school,NA,60,moderately satisfied,very happy,male,age 60-79
1972,less than high school,no,26,NA,very happy,female,age 20-39
1972,less than high school,NA,74,moderately satisfied,not too happy,female,age 60-79
1972,less than high school,NA,33,very satisfied,very happy,female,age 20-39
1972,less than high school,NA,23,moderately satisfied,pretty happy,female,age 20-39
1972,less than high school,NA,19,moderately satisfied,pretty happy,male,age 1-19
1972,less than high school,NA,59,very satisfied,not too happy,female,age 40-59
1972,less than high school,yes,70,moderately satisfied,pretty happy,female,age 60-79
1972,less than high school,NA,52,very satisfied,pretty happy,male,age 40-59
1972,less than high school,yes,75,moderately satisfied,very happy,male,age 60-79
1972,less than high school,yes,49,NA,very happy,female,age 40-59
1972,less than high school,NA,49,moderately satisfied,pretty happy,male,age 40-59
1972,less than high school,NA,46,moderately satisfied,pretty happy,male,age 40-59
1972,high school,NA,45,very satisfied,pretty happy,female,age 40-59
1972,bachelor's,NA,28,very satisfied,pretty happy,female,age 20-39
1972,high school,NA,23,a little dissatisfied,not too happy,male,age 20-39
1972,high school,NA,64,very satisfied,pretty happy,male,age 60-79
1972,high school,NA,33,very satisfied,pretty happy,female,age 20-39
